net,length_um
rf\[0\]\[14\],61.86
rf\[18\]\[10\],61.83
_03053_,61.8
net2,61.76
rf\[10\]\[14\],61.72
rf\[21\]\[30\],61.64
_03422_,61.62
rf\[15\]\[10\],61.54
clknet_1_1__leaf__04476_,61.44
rf\[21\]\[14\],61.26
_03660_,61.2
_03345_,61.14
_03300_,61.02
_04364_,60.99
_03592_,60.98
clknet_1_0__leaf__04501_,60.9
_04365_,60.82
clknet_1_1__leaf__04477_,60.78
rf\[11\]\[8\],60.72
rf\[12\]\[2\],60.7
_04307_,60.68
_03474_,60.64
_03713_,60.58
rf\[5\]\[26\],60.52
rf\[10\]\[11\],60.495
rf\[21\]\[19\],60.4
rf\[5\]\[23\],60.24
clknet_1_0__leaf__04451_,60.16
rf\[8\]\[13\],60.14
rf\[18\]\[16\],60.115
rf\[16\]\[21\],59.94
rf\[29\]\[5\],59.72
rf\[27\]\[2\],59.64
rf\[31\]\[30\],59.6
_03814_,59.52
_03327_,59.4
rf\[12\]\[0\],59.32
_03571_,59.28
_04338_,59.22
rf\[26\]\[18\],59.13
_04071_,59.1
_03960_,59.08
rf\[8\]\[19\],58.96
_03892_,58.94
_03298_,58.93
_03825_,58.86
_03238_,58.72
rf\[25\]\[7\],58.71
_03370_,58.68
clknet_1_0__leaf__04445_,58.67
rf\[4\]\[13\],58.6
clknet_1_1__leaf__04481_,58.58
rf\[22\]\[22\],58.51
rf\[17\]\[25\],58.36
rf\[2\]\[8\],58.35
_03614_,58.28
rf\[24\]\[17\],58.28
_03624_,58.24
_03586_,58.13
_04237_,58.04
rf\[13\]\[19\],57.9
_03918_,57.72
_03397_,57.7
clknet_1_0__leaf__04474_,57.66
rf\[1\]\[23\],57.56
rf\[18\]\[20\],57.415
_04354_,57.35
_03454_,57.34
rf\[23\]\[3\],57.34
rf\[15\]\[14\],57.28
rf\[22\]\[2\],57.27
rf\[1\]\[28\],57.24
_04159_,57.2
rf\[25\]\[25\],57.12
_03442_,57.1
rf\[23\]\[6\],57.08
_03800_,57.02
_03303_,57
rf\[16\]\[28\],56.92
_04215_,56.86
rf\[27\]\[3\],56.86
rf\[18\]\[18\],56.695
_03503_,56.6
_03315_,56.52
rf\[31\]\[21\],56.5
rf\[4\]\[8\],56.5
rf\[5\]\[19\],56.5
_03701_,56.445
clknet_1_1__leaf__04470_,56.18
clknet_1_1__leaf__04450_,56.02
_02118_,55.98
_03897_,55.94
_01745_,55.925
_03722_,55.92
clknet_1_0__leaf__04450_,55.92
rf\[24\]\[4\],55.76
clknet_1_1__leaf__04473_,55.68
rf\[26\]\[0\],55.545
_03843_,55.52
_04089_,55.5
_03707_,55.48
_03756_,55.48
