2023-05-06 12:46 | DONE   | sv_core    | matrix_config_114: Writing report...
2023-05-06 12:46 | DONE   | sv_core    | Deleting run directory...
2023-05-06 12:46 | DONE   | sv_core    | Deleted run directory.
2023-05-06 12:46 | START  | sv_core    | matrix_config_116
2023-05-06 12:46 | SUCCESS| sv_core    | 
2023-05-06 12:46 | DONE   | sv_core    | matrix_config_115: Writing report...
2023-05-06 12:47 | DONE   | sv_core    | Deleting run directory...
2023-05-06 12:47 | DONE   | sv_core    | Deleted run directory.
2023-05-06 12:47 | START  | sv_core    | matrix_config_117
2023-05-06 12:56 | SUCCESS| sv_core    | 
2023-05-06 12:56 | DONE   | sv_core    | matrix_config_117: Writing report...
2023-05-06 12:56 | SUCCESS| sv_core    | 
2023-05-06 12:56 | DONE   | sv_core    | matrix_config_116: Writing report...
2023-05-06 12:56 | DONE   | sv_core    | Deleting run directory...
2023-05-06 12:56 | DONE   | sv_core    | Deleted run directory.
2023-05-06 12:56 | START  | sv_core    | matrix_config_118
2023-05-06 12:56 | DONE   | sv_core    | Deleting run directory...
2023-05-06 12:56 | DONE   | sv_core    | Deleted run directory.
2023-05-06 12:56 | START  | sv_core    | matrix_config_119
2023-05-06 13:06 | SUCCESS| sv_core    | 
2023-05-06 13:06 | DONE   | sv_core    | matrix_config_118: Writing report...
2023-05-06 13:06 | SUCCESS| sv_core    | 
2023-05-06 13:06 | DONE   | sv_core    | matrix_config_119: Writing report...
2023-05-06 13:06 | DONE   | sv_core    | Deleting run directory...
2023-05-06 13:06 | DONE   | sv_core    | Deleted run directory.
2023-05-06 13:06 | START  | sv_core    | matrix_config_120
2023-05-06 13:06 | DONE   | sv_core    | Deleting run directory...
2023-05-06 13:06 | DONE   | sv_core    | Deleted run directory.
2023-05-06 13:06 | START  | sv_core    | matrix_config_121
2023-05-06 13:15 | SUCCESS| sv_core    | 
2023-05-06 13:15 | DONE   | sv_core    | matrix_config_120: Writing report...
2023-05-06 13:15 | SUCCESS| sv_core    | 
