net,length_um
_0628_,27.6
_1234_,27.54
_0408_,27.52
i_exec_stage.data_fwd_o\[29\],27.52
_2140_,27.44
net118,27.44
_1939_,27.42
i_decode_stage.fetch_state_i\[40\],27.38
_0325_,27.36
_1009_,27.36
_1801_,27.33
_0952_,27.3
_0337_,27.115
net11,27.05
i_decode_stage.reg_meta_o\[22\],27.02
_1648_,26.99
_2148_,26.98
i_decode_stage.reg_meta_o\[60\],26.98
_1084_,26.875
i_decode_stage.decode_state_o\[18\],26.82
_0825_,26.8
_1522_,26.8
i_exec_stage.data_fwd_o\[28\],26.76
i_mem_slice_stage.pre_data\[13\],26.76
_0372_,26.66
_0775_,26.64
_1097_,26.58
i_decode_stage.reg_meta_o\[50\],26.54
_0494_,26.52
_0685_,26.5
i_decode_stage.decode_state_o\[63\],26.48
_2069_,26.42
i_decode_stage.decode_state_o\[65\],26.4
_0884_,26.37
_0904_,26.28
_1632_,26.22
_1521_,26.18
i_mem_slice_stage.mem_state_o\[85\],26.14
_0686_,26.1
_1001_,26.1
net24,26.03
i_decode_stage.fetch_state_i\[58\],25.98
_0307_,25.88
i_decode_stage.decode_state_o\[24\],25.84
i_exec_stage.data_fwd_o\[4\],25.73
_1196_,25.7
_0892_,25.66
_2131_,25.64
_1665_,25.62
_1115_,25.57
_0889_,25.54
net109,25.44
_2124_,25.4
i_decode_stage.reg_meta_o\[28\],25.38
dmem_addr_o[14],25.35
i_exec_stage.data_fwd_o\[18\],25.32
_0740_,25.26
i_decode_stage.reg_meta_o\[37\],25.24
_2123_,25.22
_1869_,25.18
i_decode_stage.decode_state_o\[68\],25.14
i_mem_slice_stage.pre_data\[12\],25.14
_0972_,25.1
_0996_,25.04
_1670_,25.02
_0699_,25
net124,24.94
i_mem_slice_stage.pre_data\[1\],24.88
_1638_,24.86
_1181_,24.78
_1415_,24.74
_0922_,24.68
net114,24.68
_0987_,24.6
_1486_,24.6
_1123_,24.595
_1119_,24.48
_1163_,24.44
dmem_wdata_o[3],24.37
i_exec_stage.data_fwd_o\[21\],24.32
_0442_,24.26
_1016_,24.18
_0910_,24
_2117_,24
i_decode_stage.fetch_state_i\[56\],24
i_exec_stage.data_fwd_o\[39\],23.98
_1699_,23.96
_0616_,23.84
i_mem_slice_stage.mem_state_o\[24\],23.84
i_mem_slice_stage.pre_data\[19\],23.805
_1481_,23.8
_0416_,23.74
_2095_,23.7
net31,23.7
_2085_,23.66
i_decode_stage.reg_meta_o\[74\],23.62
_0359_,23.6
_1338_,23.6
_1940_,23.6
_0449_,23.5
_1603_,23.5
_0772_,23.485
_0511_,23.46
_1081_,23.46
_1456_,23.46
_0973_,23.44
_0990_,23.42
_2091_,23.42
i_exec_stage.data_fwd_o\[35\],23.39
dmem_rdata_i[1],23.29
_1206_,23.28
_2057_,23.28
_1455_,23.105
_1153_,23.095
_1708_,23.08
i_mem_slice_stage.mem_state_o\[6\],23.04
net97,23.04
_0993_,23.02
_1599_,22.98
net101,22.88
_1541_,22.86
_0936_,22.84
_1678_,22.8
_2154_,22.7
_0591_,22.58
_0962_,22.58
_1931_,22.54
_0991_,22.52
i_decode_stage.valid_i,22.52
_1796_,22.46
_1377_,22.42
_1191_,22.4
i_decode_stage.reg_meta_o\[27\],22.38
_1270_,22.3
_1379_,22.3
_1300_,22.275
i_decode_stage.decode_state_o\[240\],22.26
_0380_,22.12
_1293_,22.1
i_exec_stage.data_fwd_o\[17\],22.08
net173,22.08
_0797_,22.05
i_decode_stage.fetch_state_i\[7\],22
_0694_,21.98
_0789_,21.96
_1014_,21.94
net29,21.9
_1010_,21.72
net167,21.72
